date	foF2_corr	foF2_n_hours	foF2_total_time_points	sonde1	sonde2	year
2015-11-01	0.9834271227035	24.0	84.0	GM037	VT139	2015.0
2015-11-02	0.9739144341483766	24.0	76.0	GM037	VT139	2015.0
2015-11-03	0.9893736150780316	17.0	61.0	GM037	VT139	2015.0
2015-11-04	0.9623125991306045	20.0	73.0	GM037	VT139	2015.0
2015-11-05	0.9664739077440981	24.0	73.0	GM037	VT139	2015.0
2015-11-06	0.9763974137336585	23.0	90.0	GM037	VT139	2015.0
2015-11-07	0.9921598798782948	23.0	79.0	GM037	VT139	2015.0
2015-11-08	0.9711278401714162	20.0	69.0	GM037	VT139	2015.0
2015-11-09	0.9842675667062115	24.0	85.0	GM037	VT139	2015.0
2015-11-10	0.981523157431513	24.0	80.0	GM037	VT139	2015.0
2015-11-11	0.973448806625467	23.0	78.0	GM037	VT139	2015.0
2015-11-12	0.9802674358495396	23.0	85.0	GM037	VT139	2015.0
2015-11-13	0.9833344901758833	24.0	85.0	GM037	VT139	2015.0
2015-11-14	0.9820274555816467	24.0	89.0	GM037	VT139	2015.0
2015-11-15	0.980384039082377	24.0	81.0	GM037	VT139	2015.0
2015-11-16	0.9862208931800752	24.0	86.0	GM037	VT139	2015.0
2015-11-17	0.9826904815891736	24.0	84.0	GM037	VT139	2015.0
2015-11-18	0.976241307611225	24.0	80.0	GM037	VT139	2015.0
2015-11-19	0.9827521854613319	24.0	89.0	GM037	VT139	2015.0
2015-11-20	0.9178394026329247	24.0	86.0	GM037	VT139	2015.0
2015-11-21	0.9698914691301364	24.0	88.0	GM037	VT139	2015.0
2015-11-22	0.9635103258295913	24.0	88.0	GM037	VT139	2015.0
2015-11-23	0.97589022407684	24.0	79.0	GM037	VT139	2015.0
2015-11-24	0.971192575146864	24.0	83.0	GM037	VT139	2015.0
2015-11-25	0.9767835824325418	24.0	85.0	GM037	VT139	2015.0
2015-11-26	0.9700522732133197	24.0	87.0	GM037	VT139	2015.0
2015-11-27	0.9864771303379638	24.0	85.0	GM037	VT139	2015.0
2015-11-28	0.9334847285329162	16.0	52.0	GM037	VT139	2015.0
2015-11-30	0.9769764895299747	16.0	54.0	GM037	VT139	2015.0
2015-12-01	0.9814258724306905	24.0	86.0	GM037	VT139	2015.0
2015-12-02	0.9727374434982695	24.0	83.0	GM037	VT139	2015.0
2015-12-03	0.9523635237770599	24.0	80.0	GM037	VT139	2015.0
2015-12-04	0.9641775589431166	24.0	89.0	GM037	VT139	2015.0
2015-12-05	0.9638726307890246	24.0	85.0	GM037	VT139	2015.0
2015-12-06	0.9707079130316508	24.0	88.0	GM037	VT139	2015.0
2015-12-07	0.9661992185602154	24.0	78.0	GM037	VT139	2015.0
2015-12-08	0.9801115122152165	24.0	88.0	GM037	VT139	2015.0
2015-12-09	0.9690781637344877	18.0	60.0	GM037	VT139	2015.0
2015-12-10	0.9588637016877967	20.0	69.0	GM037	VT139	2015.0
2015-12-11	0.9708360437089951	24.0	90.0	GM037	VT139	2015.0
2015-12-12	0.9525441590086768	24.0	91.0	GM037	VT139	2015.0
2015-12-13	0.9868367317246519	23.0	87.0	GM037	VT139	2015.0
2015-12-14	0.9509121281141201	24.0	85.0	GM037	VT139	2015.0
2015-12-15	0.9612250388825941	24.0	85.0	GM037	VT139	2015.0
2015-12-16	0.975407650518873	24.0	86.0	GM037	VT139	2015.0
2015-12-17	0.9703376368435301	24.0	90.0	GM037	VT139	2015.0
2015-12-18	0.9593350664533716	23.0	76.0	GM037	VT139	2015.0
2015-12-19	0.958464184986239	24.0	88.0	GM037	VT139	2015.0
2015-12-20	0.9660952317680954	24.0	92.0	GM037	VT139	2015.0
2015-12-21	0.9529524180851043	21.0	71.0	GM037	VT139	2015.0
2015-12-22	0.9741911216353034	22.0	73.0	GM037	VT139	2015.0
2015-12-23	0.9665349168516523	24.0	77.0	GM037	VT139	2015.0
2015-12-24	0.9506422596536431	22.0	77.0	GM037	VT139	2015.0
2015-12-25	0.9761060737339623	24.0	84.0	GM037	VT139	2015.0
2015-12-26	0.9138552632937014	23.0	76.0	GM037	VT139	2015.0
2015-12-27	0.9619816538372228	24.0	89.0	GM037	VT139	2015.0
2015-12-28	0.9437650443889695	24.0	89.0	GM037	VT139	2015.0
2015-12-29	0.9572283261846017	24.0	90.0	GM037	VT139	2015.0
2015-12-30	0.9178842336485766	24.0	90.0	GM037	VT139	2015.0
2015-12-31	0.958910906383345	24.0	88.0	GM037	VT139	2015.0
2016-01-01	0.9726720577069388	23.0	83.0	GM037	VT139	2016.0
