sonde	year	date	h	m	foF2	foF1	M(D)	MUF(D)	fmin	foEs	fminF	fminE	foE	fxI	h'F	h'F2	h'E	h'Es	hmE	yE	QF	QE	DownF	DownE	DownEs	FF	FE	D	fMUF	h'(fMUF)	delta_foF2	foEp	f(h'F)	f(h'F2)	foF1p	peak height of F2 layer	peak height of F1 layer	zhalfNm	foF2p	fminEs	yF2	yF1	TEC	scale F2	B0	B1	D1	foEa	h'Ea	foP	h'P	fbEs	Type Es
FZA0M	2019	2019-04-21	8	0																																																	
FZA0M	2019	2019-04-21	17	20																																																	
FZA0M	2019	2019-04-21	19	40																																																	
FZA0M	2019	2019-04-21	9	10																																																	
FZA0M	2019	2019-04-21	0	20																																																	
FZA0M	2019	2019-04-21	8	50																																																	
FZA0M	2019	2019-04-21	21	20																																																	
FZA0M	2019	2019-04-21	7	10																																																	
FZA0M	2019	2019-04-21	5	30																																																	
FZA0M	2019	2019-04-21	18	40																																																	
FZA0M	2019	2019-04-21	0	30																																																	
FZA0M	2019	2019-04-21	17	50																																																	
FZA0M	2019	2019-04-21	3	10																																																	
FZA0M	2019	2019-04-21	9	50																																																	
FZA0M	2019	2019-04-21	13	0																																																	
FZA0M	2019	2019-04-21	8	30																																																	
FZA0M	2019	2019-04-21	13	40																																																	
FZA0M	2019	2019-04-21	23	40																																																	
FZA0M	2019	2019-04-21	4	40																																																	
FZA0M	2019	2019-04-21	4	0																																																	
FZA0M	2019	2019-04-21	13	50																																																	
FZA0M	2019	2019-04-21	3	0																																																	
FZA0M	2019	2019-04-21	20	0																																																	
FZA0M	2019	2019-04-21	18	50																																																	
FZA0M	2019	2019-04-21	3	30																																																	
FZA0M	2019	2019-04-21	18	10																																																	
FZA0M	2019	2019-04-21	16	30																																																	
FZA0M	2019	2019-04-21	7	50																																																	
FZA0M	2019	2019-04-21	19	0																																																	
FZA0M	2019	2019-04-21	5	10																																																	
FZA0M	2019	2019-04-21	1	30																																																	
FZA0M	2019	2019-04-21	9	30																																																	
FZA0M	2019	2019-04-21	6	10																																																	
FZA0M	2019	2019-04-21	7	40																																																	
FZA0M	2019	2019-04-21	1	40																																																	
FZA0M	2019	2019-04-21	23	10																																																	
FZA0M	2019	2019-04-21	9	20																																																	
FZA0M	2019	2019-04-22	0	50																																																	
FZA0M	2019	2019-04-22	5	10																																																	
FZA0M	2019	2019-04-22	22	50																																																	
FZA0M	2019	2019-04-22	22	20																																																	
FZA0M	2019	2019-04-22	7	0																																																	
FZA0M	2019	2019-04-22	1	50																																																	
FZA0M	2019	2019-04-22	7	20																																																	
FZA0M	2019	2019-04-22	9	50																																																	
FZA0M	2019	2019-04-22	2	10																																																	
FZA0M	2019	2019-04-22	10	30																																																	
FZA0M	2019	2019-04-22	19	40																																																	
FZA0M	2019	2019-04-22	15	30																																																	
FZA0M	2019	2019-04-22	14	0																																																	
FZA0M	2019	2019-04-22	23	10																																																	
FZA0M	2019	2019-04-22	10	40																																																	
FZA0M	2019	2019-04-22	1	30																																																	
FZA0M	2019	2019-04-22	14	20																																																	
FZA0M	2019	2019-04-22	17	40																																																	
FZA0M	2019	2019-04-22	19	20																																																	
FZA0M	2019	2019-04-22	6	50																																																	
FZA0M	2019	2019-04-22	6	30																																																	
FZA0M	2019	2019-04-22	8	10																																																	
FZA0M	2019	2019-04-22	7	30																																																	
FZA0M	2019	2019-04-22	20	50																																																	
FZA0M	2019	2019-04-22	16	0																																																	
FZA0M	2019	2019-04-22	15	10																																																	
FZA0M	2019	2019-04-22	14	30																																																	
FZA0M	2019	2019-04-22	0	20																																																	
FZA0M	2019	2019-04-22	5	40																																																	
FZA0M	2019	2019-04-22	20	30																																																	
FZA0M	2019	2019-04-22	11	30																																																	
FZA0M	2019	2019-04-22	14	50																																																	
FZA0M	2019	2019-04-22	14	40																																																	
FZA0M	2019	2019-04-22	4	0																																																	
FZA0M	2019	2019-04-22	11	10																																																	
FZA0M	2019	2019-04-22	22	30																																																	
FZA0M	2019	2019-04-22	0	10																																																	
FZA0M	2019	2019-04-22	15	20																																																	
FZA0M	2019	2019-04-22	17	50																																																	
FZA0M	2019	2019-04-22	20	20																																																	
FZA0M	2019	2019-04-22	0	30																																																	
FZA0M	2019	2019-04-22	21	40																																																	
FZA0M	2019	2019-04-22	5	0																																																	
FZA0M	2019	2019-04-22	5	30																																																	
FZA0M	2019	2019-04-22	15	40																																																	
FZA0M	2019	2019-04-22	16	40																																																	
FZA0M	2019	2019-04-22	3	20																																																	
FZA0M	2019	2019-04-22	2	0																																																	
FZA0M	2019	2019-04-22	3	50																																																	
FZA0M	2019	2019-04-22	13	20																																																	
FZA0M	2019	2019-04-22	21	0																																																	
FZA0M	2019	2019-04-22	5	50																																																	
FZA0M	2019	2019-04-22	8	40																																																	
FZA0M	2019	2019-04-22	7	40																																																	
FZA0M	2019	2019-04-22	12	50																																																	
FZA0M	2019	2019-04-22	18	10																																																	
FZA0M	2019	2019-04-22	4	20																																																	
FZA0M	2019	2019-04-22	17	0																																																	
FZA0M	2019	2019-04-22	3	0																																																	
FZA0M	2019	2019-04-22	2	40																																																	
FZA0M	2019	2019-04-22	13	30																																																	
FZA0M	2019	2019-04-22	7	10																																																	
FZA0M	2019	2019-04-22	23	20																																																	
FZA0M	2019	2019-04-22	6	10																																																	
FZA0M	2019	2019-04-22	21	20																																																	
