sonde	year	date	h	m	foF2	foF1	M(D)	MUF(D)	fmin	foEs	fminF	fminE	foE	fxI	h'F	h'F2	h'E	h'Es	hmE	yE	QF	QE	DownF	DownE	DownEs	FF	FE	D	fMUF	h'(fMUF)	delta_foF2	foEp	f(h'F)	f(h'F2)	foF1p	peak height of F2 layer	peak height of F1 layer	zhalfNm	foF2p	fminEs	yF2	yF1	TEC	scale F2	B0	B1	D1	foEa	h'Ea	foP	h'P	fbEs	Type Es
AS237	2010	2010-07-01	9	0	7.0			2.7	2.0	7.0																		3000.0																									
AS237	2010	2010-07-01	7	0	6.6			2.8	2.0	4.5																		3000.0																									
AS237	2010	2010-07-01	12	0	6.0			2.8	2.0																			3000.0																									
AS237	2010	2010-07-01	10	0	6.4			2.7	2.0																			3000.0																									
AS237	2010	2010-07-01	11	0	6.5			2.8	2.0																			3000.0																									
AS237	2010	2010-07-03	11	0	6.4			2.8	2.0																			3000.0																									
AS237	2010	2010-07-03	6	0					2.0	8.2																		3000.0																									
AS237	2010	2010-07-03	5	0	6.8			2.5	2.0	6.8																		3000.0																									
AS237	2010	2010-07-03	7	0	6.2			2.8	2.0	6.4																		3000.0																									
AS237	2010	2010-07-03	9	0	6.6			3.0	2.0	4.2																		3000.0																									
AS237	2010	2010-07-03	10	0					2.0	6.8																		3000.0																									
AS237	2010	2010-07-03	8	0	6.8			3.0	2.0	4.0																		3000.0																									
AS237	2010	2010-07-03	4	0	6.4			3.0	2.0	5.4																		3000.0																									
AS237	2010	2010-07-03	12	0	6.2			2.6	2.0																			3000.0																									
AS237	2010	2010-07-04	10	0					2.0	6.0																		3000.0																									
AS237	2010	2010-07-04	9	0					2.0	8.2																		3000.0																									
AS237	2010	2010-07-04	5	0	6.0			2.5	2.0	4.0																		3000.0																									
AS237	2010	2010-07-04	8	0	5.8			2.6	2.0	4.2																		3000.0																									
AS237	2010	2010-07-04	7	0	7.0			2.6	2.0	5.0																		3000.0																									
AS237	2010	2010-07-04	4	0	5.8			2.5	2.0	4.0																		3000.0																									
AS237	2010	2010-07-04	12	0					2.0	7.6																		3000.0																									
AS237	2010	2010-07-04	11	0					2.0	9.4																		3000.0																									
AS237	2010	2010-07-04	6	0	6.2			2.6	2.0	4.2																		3000.0																									
AS237	2010	2010-07-05	9	0	6.8			2.8	2.0	6.2																		3000.0																									
AS237	2010	2010-07-05	7	0	6.4			3.0	2.0	4.0																		3000.0																									
AS237	2010	2010-07-05	5	0					2.0	6.8																		3000.0																									
AS237	2010	2010-07-05	10	0					2.0	7.0																		3000.0																									
AS237	2010	2010-07-05	6	0	7.6			3.1	2.0	6.4																		3000.0																									
AS237	2010	2010-07-05	8	0					2.0	6.8																		3000.0																									
AS237	2010	2010-07-05	11	0	6.0			3.1	2.0	4.0																		3000.0																									
AS237	2010	2010-07-05	4	0					2.0	6.6																		3000.0																									
AS237	2010	2010-07-05	12	0	6.2			3.0	2.0	4.0																		3000.0																									
