sonde	year	date	h	m	foF2	foF1	M(D)	MUF(D)	fmin	foEs	fminF	fminE	foE	fxI	h'F	h'F2	h'E	h'Es	hmE	yE	QF	QE	DownF	DownE	DownEs	FF	FE	D	fMUF	h'(fMUF)	delta_foF2	foEp	f(h'F)	f(h'F2)	foF1p	peak height of F2 layer	peak height of F1 layer	zhalfNm	foF2p	fminEs	yF2	yF1	TEC	scale F2	B0	B1	D1	foEa	h'Ea	foP	h'P	fbEs	Type Es
RA041	2019	08/02/2019	11	30	4.7	4.2	3.0	14.1		3.6			3.2	5.3				108.0	110.0	20.0																170.0	0.1								19.0	3.2	1.0						
RA041	2019	08/02/2019	13	30						5.6								99.0																																			
RA041	2019	08/02/2019	15	30	4.5	3.8	3.02	13.6		4.4				5.1				99.0																																			
RA041	2019	08/02/2019	4	0	3.1		3.74	11.6					1.6	3.8					110.0	20.0																220.0	0.0								58.0	2.4	0.0						
RA041	2019	08/02/2019	3	15	2.7		3.56	9.6					1.2	3.4					110.0	20.0																239.0	0.0								52.0	3.2	0.0						
RA041	2019	08/02/2019	8	30						5.0								108.0																																			
RA041	2019	08/02/2019	16	15	4.6	3.6	3.3	15.2		3.1			2.6	5.2				99.0	110.0	20.0																237.0	0.5								80.0	1.6	1.0						
RA041	2019	08/02/2019	15	15						4.1								99.0																																			
RA041	2019	08/02/2019	5	45	3.9		3.87	15.1		3.7			2.5	4.6				121.0	110.0	20.0																200.0	0.0								75.0	1.2	0.0						
RA041	2019	08/02/2019	11	0																																																	
RA041	2019	08/02/2019	22	30	4.2		3.5	14.7					0.4	4.9					110.0	20.0																257.0	0.0								40.0	2.8	0.0						
RA041	2019	08/02/2019	10	30						5.3								108.0																																			
RA041	2019	08/02/2019	11	15						4.2								112.0																																			
RA041	2019	08/02/2019	10	15						4.2								112.0																																			
RA041	2019	08/02/2019	12	45	4.9	4.2	3.18	15.6		4.2			3.2	5.5				108.0	110.0	20.0																210.0	0.8								67.0	1.2	1.0						
RA041	2019	08/02/2019	8	0						5.6								112.0																																			
RA041	2019	08/02/2019	10	0						5.0								108.0																																			
RA041	2019	08/02/2019	20	15	5.4		3.54	19.1		3.7			0.8	6.1				103.0	110.0	20.0																261.0	0.0								52.0	2.8	0.0						
RA041	2019	08/02/2019	3	0	2.7		3.59	9.7					1.1	3.4					110.0	20.0																241.0	0.0								68.0	1.6	0.0						
RA041	2019	08/02/2019	7	30						5.7								112.0																																			
RA041	2019	08/02/2019	20	0	5.6		3.36	18.8		4.5			0.9	6.3				108.0	110.0	20.0																263.0	0.0								55.0	2.0	0.0						
RA041	2019	08/02/2019	6	30						4.0								126.0																																			
RA041	2019	08/02/2019	17	45	4.7		3.28	15.4		2.9			1.9	5.4				108.0	110.0	20.0																266.0	0.0								97.0	2.8	0.0						
RA041	2019	08/02/2019	15	45	4.7	3.7	3.09	14.5		4.1			2.7	5.3				103.0	110.0	20.0																251.0	0.9								100.0	1.6	1.1						
RA041	2019	08/02/2019	23	0	4.0		3.4	13.6		2.8			0.4	4.7				103.0	110.0	20.0																259.0	0.0								45.0	2.0	0.0						
RA041	2019	08/02/2019	5	15	3.9		3.87	15.1		3.3			2.3	4.6				126.0	110.0	20.0																190.0	0.0								67.0	1.2	0.0						
RA041	2019	08/02/2019	3	45	2.9		3.66	10.6					1.5	3.6					110.0	20.0																220.0	0.0								66.0	1.6	0.0						
RA041	2019	08/02/2019	6	45						4.2								121.0																																			
RA041	2019	08/02/2019	6	15	4.5		3.82	17.2		3.9			2.7	5.2				121.0	110.0	20.0																200.0	0.0								60.0	1.6	0.0						
RA041	2019	08/02/2019	9	15						6.8								108.0																																			
RA041	2019	08/02/2019	1	15	3.3		3.45	11.4		2.6			0.6	4.0				94.0	110.0	20.0																259.0	0.0								50.0	2.0	0.0						
RA041	2019	08/02/2019	9	30						6.1								108.0																																			
RA041	2019	08/02/2019	18	45	5.4		3.22	17.4		5.6			1.4	6.1				103.0	110.0	20.0																256.0	0.0								88.0	1.2	0.0						
RA041	2019	08/02/2019	23	15	3.9		3.49	13.6		3.2			0.4	4.6				99.0	110.0	20.0																258.0	0.0								45.0	2.0	0.0						
RA041	2019	08/02/2019	21	45	4.6		3.35	15.4					0.5	5.2					110.0	20.0																266.0	0.0								48.0	1.6	0.0						
RA041	2019	08/02/2019	15	0						4.0								99.0																																			
RA041	2019	08/02/2019	18	30	5.1		3.33	17.0		4.0			1.5	5.8				103.0	110.0	20.0																279.0	0.0								79.0	3.6	0.0						
RA041	2019	08/02/2019	19	15	5.8		3.33	19.3					1.1	6.4					110.0	20.0																265.0	0.0								52.0	1.6	0.0						
RA041	2019	08/02/2019	22	15	4.4		3.43	15.1					0.5	5.1					110.0	20.0																265.0	0.0								43.0	2.8	0.0						
RA041	2019	08/02/2019	7	15						4.9								117.0																																			
RA041	2019	08/02/2019	21	30	4.7		3.28	15.4		2.8			0.6	5.4				103.0	110.0	20.0																275.0	0.0								48.0	1.6	0.0						
RA041	2019	08/02/2019	2	15	2.8		3.46	9.7					0.9	3.5					110.0	20.0																252.0	0.0								53.0	1.6	0.0						
RA041	2019	08/02/2019	12	0	5.0	4.2	3.1	15.5		4.4			3.2	5.6				112.0	110.0	20.0																220.0	0.2								79.0	1.2	1.0						
RA041	2019	08/02/2019	14	30						3.8								103.0																																			
RA041	2019	08/02/2019	13	0	4.8		3.08	14.8		4.7			3.2	5.4				103.0	110.0	20.0																240.0	0.0								110.0	2.4	0.0						
RA041	2019	08/02/2019	12	30	5.0	4.2	3.18	15.9		4.3			3.2	5.5				108.0	110.0	20.0																220.0	0.2								78.0	1.2	1.0						
RA041	2019	08/02/2019	14	0						4.2								103.0																																			
RA041	2019	08/02/2019	9	0						5.8								108.0																																			
RA041	2019	08/02/2019	4	15	3.7		3.76	13.9		2.3			1.7	4.4				94.0	110.0	20.0																210.0	0.0								50.0	2.0	0.0						
RA041	2019	08/02/2019	7	0						4.4								121.0																																			
RA041	2019	08/02/2019	7	45						6.2								112.0																																			
RA041	2019	08/03/2019	2	45	2.8		3.46	9.7					1.0	3.5					110.0	20.0																259.0	0.0								48.0	1.6	0.0						
RA041	2019	08/03/2019	14	30						3.7								103.0																																			
RA041	2019	08/03/2019	14	15						3.8								103.0																																			
RA041	2019	08/03/2019	5	30	3.9		3.08	12.0		3.2				4.5				121.0																																			
RA041	2019	08/03/2019	4	45	3.7		3.81	14.1		2.8			2.0	4.4				99.0	110.0	20.0																220.0	0.0								43.0	2.8	0.0						
RA041	2019	08/03/2019	8	15						5.1								103.0																																			
RA041	2019	08/03/2019	22	15	4.3		3.56	15.3					0.5	5.0					110.0	20.0																240.0	0.0								58.0	3.2	0.0						
RA041	2019	08/03/2019	17	15	4.3	3.2	3.12	13.4		4.0			2.2	4.9				112.0	110.0	20.0																258.0	0.8								85.0	1.6	1.1						
RA041	2019	08/03/2019	8	45						7.2								103.0																																			
RA041	2019	08/03/2019	20	15	5.7		3.35	19.1		4.1			0.8	6.4				103.0	110.0	20.0																274.0	0.0								50.0	2.8	0.0						
