time	eq_lat	eq_lon	mag	earthquake_id	date	prep_zone	year	sonde1	sonde1_lat	sonde1_lon	eq_sonde1_dist	sonde2	sonde2_lat	sonde2_lon	eq_sonde2_dist	sonde1_sonde2_dist
05:14:54.760	39.16	20.605	6.3	usp000c4tt	2003-08-14	511.681835540308	2003	VT139	40.6	17.8	288.036600950538	RO041	44.3	12.5	882.1298970875031	598.5766123752439
04:52:09.942	63.2663	-145.1352	5.1	ak00313rl89u	2003-01-24	155.955250282695	2003	GA762	62.4	-145.2	96.4145718626534	CO764	64.9	-147.8	223.126914715905	306.21111759696
15:24:22.470	44.555	10.41	5.4	usp000gr91	2008-12-23	209.893988362352	2008	RO041	44.3	12.5	168.416178210431	PQ052	50.0	14.6	682.950478942888	653.535588759926
15:24:22.470	44.555	10.41	5.4	usp000gr91	2008-12-23	209.893988362352	2008	RO041	44.3	12.5	168.416178210431	VT139	40.6	17.8	747.759076108025	598.5766123752439
08:27:19.200	38.72	22.57	5.2	usp000gqgq	2008-12-13	172.186857498601	2008	AT138	38.0	23.6	120.347811339542	VT139	40.6	17.8	458.778182661276	576.7595182467479
02:06:34.700	38.85	23.62	5.2	usp000gk76	2008-10-14	172.186857498601	2008	AT138	38.0	23.6	94.561418942027	VT139	40.6	17.8	534.456547750018	576.7595182467479
00:39:16.860	39.608000000000004	23.849	5.3	usp000gdq3	2008-08-03	190.10782799233002	2008	AT138	38.0	23.6	180.15490210342898	VT139	40.6	17.8	526.210419345632	576.7595182467479
03:26:34.700	35.8	27.86	6.4	usp000gc72	2008-07-15	564.936974812303	2008	AT138	38.0	23.6	450.98922673039397	VT139	40.6	17.8	1027.74435727344	576.7595182467479
01:58:42.900	37.67	22.78	5.1	usp000g9y8	2008-06-18	155.955250282695	2008	AT138	38.0	23.6	80.84700355630041	VT139	40.6	17.8	539.121775016002	576.7595182467479
04:58:55.190	37.747	21.087	5.7	usp000bjwy	2002-12-02	282.487997491571	2002	AT138	38.0	23.6	222.424843039217	VT139	40.6	17.8	425.41918393322504	576.7595182467479
07:17:56.190	63.2969	-145.3886	5.2	ak002fe5b26b	2002-12-01	172.186857498601	2002	GA762	62.4	-145.2	100.22019202450399	CO764	64.9	-147.8	213.328741895029	306.21111759696
14:37:23.715	63.4227	-146.1373	5.1	ak002em5getv	2002-11-14	155.955250282695	2002	GA762	62.4	-145.2	123.260747306324	CO764	64.9	-147.8	183.01037679009102	306.21111759696
20:29:02.789	62.8584	-143.455	5.1	ak002ecbr65i	2002-11-08	155.955250282695	2002	GA762	62.4	-145.2	102.769920944786	CO764	64.9	-147.8	311.063636140211	306.21111759696
20:28:42.544	62.5589	-142.9442	5.0	ak002ecbr1i6	2002-11-08	141.253754462275	2002	GA762	62.4	-145.2	117.271407731264	CO764	64.9	-147.8	353.30401855421206	306.21111759696
17:22:43.440	63.2642	-145.2101	5.0	ak002e7bbezc	2002-11-05	141.253754462275	2002	GA762	62.4	-145.2	96.12619019059392	CO764	64.9	-147.8	221.22990601120603	306.21111759696
10:57:43.170	44.581	12.165	5.0	usp000bfwh	2002-11-02	141.253754462275	2002	RO041	44.3	12.5	41.0449833234466	VT139	40.6	17.8	639.236814766495	598.5766123752439
15:09:00.810	41.726000000000006	14.875	5.8	usp000bftq	2002-11-01	311.888958409394	2002	VT139	40.6	17.8	275.076623066063	AT138	38.0	23.6	851.835203072002	576.7595182467479
15:09:00.810	41.726000000000006	14.875	5.8	usp000bftq	2002-11-01	311.888958409394	2002	VT139	40.6	17.8	275.076623066063	RO041	44.3	12.5	345.336193910815	598.5766123752439
10:32:58.770	41.788999999999994	14.872	5.9	usp000bfqg	2002-10-31	344.349930763338	2002	VT139	40.6	17.8	278.453063166049	AT138	38.0	23.6	855.1784967019411	576.7595182467479
16:41:39.130	63.5204	-147.4295	5.1	ak0028jvqcwp	2002-07-05	155.955250282695	2002	CO764	64.9	-147.8	154.49588084384501	GA762	62.4	-145.2	168.029598498665	306.21111759696
20:53:29.700	36.626999999999995	24.274	5.9	usp000b4ra	2002-05-21	344.349930763338	2002	AT138	38.0	23.6	163.943973360104	VT139	40.6	17.8	715.111696103234	576.7595182467479
